"","Label","Synonyms","MeSH Frequency"
"10343","Heart Function Tests","Function Test, Heart|Test, Heart Function|Function Tests, Heart|Heart Function Test|Tests, Heart Function|Test, Cardiac Function|Function Test, Cardiac|Function Tests, Cardiac|Tests, Cardiac Function|Cardiac Function Tests|Cardiac Function Test",NA
"10344","Genes, Dominant","Genetic Condition, Dominant|Dominant Genetic Conditions|Genetic Conditions, Dominant|Condition, Dominant Genetic|Dominant Gene|Conditions, Dominant Genetic|Dominant Genetic Condition|Gene, Dominant|Dominant Genes",NA
"10345","Fibrin Modulating Agents","Fibrin Modulators",NA
"10346","bosentan","4-t-butyl-N-(6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-2,2'-bipyrimidin-4-yl)benzenesulfonamide|bosentan anhydrous|Ro-47-0203|Ro 47-0203|bosentan monohydrate|Tracleer",1533
"10347","Toxicity Tests, Subchronic","Test, Subchronic Toxicity|Tests, Subchronic Toxicity|Toxicity Test, Subchronic|Subchronic Toxicity Tests|Subchronic Toxicity Test",NA
"10348","macbecin II","((4Z,6Z,10Z)-20,22-dihydroxy-13,14,17-trimethoxy-4,8,10,12,16-pentamethyl-3-oxo-2-azabicyclo(16.3.1)docosa-4,6,10,19,21,23-hexaen-9-yl) carbamate",7
"10349","meropenem","1-Azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid, 3-((5-((dimethylamino)carbonyl)-3-pyrrolidinyl)thio)-6-(1-hydroxyethyl)-4-methyl-7-oxo-, (4R-(3(3S*,5S*),4alpha,5beta,6beta(R*)))-|Penem|Merrem|Ronem|SM-7338|SM 7338|3-(5-dimethylcarbamoylpyrrolidin-3-ylthio)-6-(1-hydroxyethyl)-4-methyl-7-oxo-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid",1882
"10350","Corneal Pachymetry","Pachymetric Measurement, Corneal|Thickness Measurement, Corneal|Thickness Measurements, Corneal|Measurement, Corneal Pachymetric|Pachymetric Measurements, Corneal|Corneal Pachymetric Measurement|Pachymetry, Corneal|Corneal Thickness Measurements|Measurements, Corneal Pachymetric|Corneal Pachymetric Measurements|Corneal Thickness Measurement|Measurement, Corneal Thickness|Measurements, Corneal Thickness",NA
"10351","benzenesulfonyl chloride",NA,8
"10352","gingerdione","6-hydrogingerdione",10
"10353","leucylleucine","leucylleucine, (D-Leu-D-Leu)-isomer|L-leucyl-L-leucine|leucylleucine, (L-Leu-L-Leu)-isomer|leucyl-leucine|leucylleucine monohydrochloride, (L-Leu-L-Leu)-isomer|leucylleucine, (L-Leu-D-Leu)-isomer|Leu-Leu",38
"10354","Sensation","Functions, Sensory|Organoleptic|Sensations|Sensory Functions|Sensory Function|Function, Sensory",NA
"10355","spiculoic acid A",NA,5
"10356","Agrocybe","Agrocybes",NA
"10357","Transcortin","Corticosteroid-Binding Globulin|Corticosteroid Binding Globulin|Transcortins|Serpin A6",NA
"10358","repinotan hydrochloride","BAY X 3702|BAY X-3702|2-(4-((chroman-2-ylmethyl)amino)butyl)-1,1-dioxobenzo(d)isothiazolone hydrochloride",35
"10359","trichlorobenzene","1,2,3-trichlorobenzene|*CHLOROBENZENS",77
"10360","diphenylarsinic acid",NA,40
"10361","Proton-Phosphate Symporters","Proton-Phosphate Symporter|Proton Phosphate Cotransporters|Proton-Phosphate Cotransporters|Symporter, H+-Pi|Cotransporters, Proton-Phosphate|Proton Phosphate Symporters|H+ Pi Symporter|Symporters, Proton-Phosphate|Proton Phosphate Symporter|H+-Pi Symporter|Symporter, Proton-Phosphate",NA
"10362","MEDLINE","Index Medicus",NA
"10363","Plant Dormancy","Dormancy, Seed|Dormancy, Plant|Seed Dormancy|Plant Dormancies|Dormancies, Plant|Seed Dormancies|Dormancies, Seed",NA
"10364","Equipment Failure","Equipment Malfunction|Failures, Equipment|Misuses, Equipment|Failures, Device|Device Failures, Medical|Device Failure|Malfunction, Equipment|Defects, Equipment|Equipment Misuse|Equipment Malfunctions|Equipment Defect|Failures, Medical Device|Device Failures|Failure, Equipment|Medical Device Failure|Failure, Device|Misuse, Equipment|Malfunctions, Equipment|Failure, Medical Device|Equipment Misuses|Device Failure, Medical|Equipment Defects|Equipment Failures|Defect, Equipment",NA
"10365","prekeratin",NA,107
"10366","IVAM regimen",NA,4
"10367","calcium aluminate",NA,93
"10368","Cleavage Stage, Ovum","Segmentation Stages, Ovum|Ovum Cleavage Stages|Ovum Segmentation Stage|Ovum Cleavage Stage|Segmentation Stage, Ovum|Cleavage Stages, Ovum|Ovum Segmentation Stages",NA
"10369","retamycin",NA,4
"10370","Viccillin S (combination)","Viccillin S (combination), cloxacillin sodium salt|6-((aminophenylacetyl)amino)-3,3-dimethyl-7-oxo-4- thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid,mixt. with 6-(((3-(2-chlorophenyl)-5-methyl-4-isox azolyl)carbonyl)amino)-3,3-dimethyl-7-oxo-4-thia-1- azabicyclo(3.2.0)heptane-2-carboxylic acid|Viccillin S (combination), ampicillin sodium salt|Ampiclox",6
"10371","rebilda DC",NA,12
"10372","Intense Pulsed Light Therapy",NA,NA
"10373","Xenon Radioisotopes","Radioisotopes, Xenon",NA
"10374","Barotrauma","Barotraumas",NA
"10375","Abdomen, Acute","Abdomens, Acute|Acute Abdomen|Acute Abdomens",NA
"10376","hydroxyphenytoin","4'-HPPH|hydroxyphenytoin, 11C-labeled|hydroxyphenytoin, (R)-isomer|hydroxyphenytoin, (+-)-isomer|5-(4'-hydroxyphenyl)-5-phenylhydantoin|5-(4- hydroxyphenyl)-5-phenyl-2,4-imidazolidinedione|hydroxyphenytoin, (S)-isomer|4-HppH|5-(4-hydroxyphenyl)-5-phenylhydantoin",89
"10377","photocarcinorin","PSD 007|carcinophotorin|PSD-007",20
"10378","Methods","Method|Procedures|Study, Methodological|Methodological Study|Procedure|Studies, Methodological|Methodological Studies",NA
"10379","Gram-Negative Bacteria","Gram Negative Bacteria",NA
"10380","Magnetic Field Therapy","Magnetic Field Therapies|Therapies, Magnetic Field|Stimulation Therapies, Magnetic|Stimulation Therapy, Magnetic|Therapy, Magnetic Field|Therapy, Magnetic Stimulation|Magnetic Stimulation Therapies|Field Therapies, Magnetic|Therapies, Magnetic Stimulation|Magnetic Stimulation Therapy|Field Therapy, Magnetic",NA
"10381","Oxymorphone","Endo brand of oxymorphine HCl|Oxymorphone Hydrochloride|Opana|Endo Brand of Oxymorphone Hydrochloride|Numorphan|Morphinan-6-one, 4,5-epoxy-3,14-dihydroxy-17-methyl-, (5alpha)-|Oxymorphone HCl|Bristol-Myers Squibb Brand of Oxymorphone Hydrochloride",NA
"10382","Macedonia (Republic)","Macedonia (Yugoslavia)|The Former Yugoslav Republic of Macedonia|Former Yugoslav Republic of Macedonia|Macedonia, Former Yugoslave Republic of",NA
"10383","trichotoxin","Trichotoxin",14
"10384","isopropyl palmitate","Hexadecanoic acid 1-methylethyl ester",26
"10385","Alkanes",NA,NA
"10386","Clinical Laboratory Services","Service, Clinical Laboratory|Laboratory Service, Clinical|Clinical Laboratory Service|Laboratory Services, Clinical|Services, Clinical Laboratory",NA
"10387","caryachine","isocaryachine-N-oxide",4
"10388","Namibia","Southwest Africa|South West Africa|Republic of Namibia",NA
"10389","Acquired CJD","Sporadic CJD",13
"10390","selenocystine","selenocystine, (L)-isomer|selenocystine, (D)-isomer|selenocystine, (DL)-isomer",117
"10391","Bursa, Synovial","Synovial Bursa|Synovial Bursas|Bursas, Synovial",NA
"10392","Accidents, Traffic","Traffic Accidents|Traffic Accident|Accident, Traffic",NA
"10393","Plasmodesmata",NA,NA
"10394","Parthenogenesis","Thelytoky|Automixis|Parthenogeneses|Arrhenotoky",NA
"10395","cuprammonium cellulose","cuprophane|cuprophan|BMM fiber|cuprofane",645
"10396","tocopheronolactone","tocopheronolactone, (+-)-isomer|alpha-tocopheronolactone",4
"10397","Bony Callus","Callus|Callus, Bony",NA
"10398","Humpback Whale","Whale, Humpback|Megaptera novaeangliae|Humpback Whales|Whales, Humpback",NA
"10399","vipi cril",NA,4
"10400","Cohn fraction I",NA,17
"10401","diflucortolone valerate","Nerisone Forte|Claral|Temetex|Nerisone|Nerisona",57
"10402","Injections, Spinal","Intrathecal Injection|Injection, Intraspinal|Intraspinal Injections|Intrathecal Injections|Injections, Intraspinal|Injection, Spinal|Injections, Intrathecal|Intraspinal Injection|Injection, Intrathecal|Spinal Injections|Spinal Injection",NA
"10403","Web Browser","Web Browsers|Browsers, Web|Browser, Web",NA
"10404","Methylurea Compounds","Compounds, Methylurea",NA
"10405","Patient Comfort","Comfort Care|Care, Comfort|Comfort, Patient",NA
"10406","Foot Deformities, Congenital","Deformities, Congenital Foot|Deformity, Congenital Foot|Foot Deformity, Congenital|Congenital Foot Deformity|Congenital Foot Deformities",NA
"10407","emivirine","2,4(1H,3H)-Pyrimidinedione, 1-(ethoxymethyl)-5-(1-methylethyl)-6-(phenylmethyl)-|6-benzyl-1-(ethoxymethyl)-5-isopropyluracil|6-benzyl-1-ethoxymethyl-5-isopropyluracil|MKC 442|MKC-442",37
"10408","p-dimethylaminobenzaldehyde",NA,26
"10409","Yttrium Radioisotopes","Radioisotopes, Yttrium",NA
"10410","Nerve Expansion","Lengthenings, Nerve|Stretchings, Nerve|Nerve Lengthening|Expansion, Nerve|Nerve Stretching|Nerve Elongation Procedures|Lengthening, Nerve|Procedure, Nerve Elongation|Expansions, Nerve|Nerve Lengthenings|Procedures, Nerve Elongation|Nerve Stretchings|Elongation Procedures, Nerve|Nerve Elongation Procedure|Nerve Expansions|Stretching, Nerve|Elongation Procedure, Nerve",NA
"10411","Acanthocytes","Acanthocyte",NA
"10412","triphenylselenonium chloride","TPSeCl",12
"10413","Acer","negundos, Acer|Elder, Box|Sugar Maple|Maple|saccharums, Acer|Elders, Box|Box Elder|Acer saccharums|Maples|Maple, Sugar|Acer negundo|Acer negundos|Sugar Maples|Acer saccharum|Maples, Sugar|Box Elders|Acers",NA
"10414","Halococcus",NA,NA
"10415","Calcium Sulfate","Calcium Sulfate, Dihydrate|Hemihydrate Calcium Sulfate|Calcium Sulphate|Sulfuric acid, calcium salt (1:1)|Calcium Sulfate (1:1), Dihydrate|Calcium Sulfate (1:1), Hemihydrate|Calcium Sulfate (2:1)|Plaster of Paris|Drierite|Gypsite|Gypsum|Dihydrate Calcium Sulfate|Gypsum, Dental|Calcium Sulfate, Hemihydrate|Calcium Sulfate Dihydrate|Stone, Artificial Dental|Karstenite|Dental Gypsum|Calcium Sulfate, Anhydrous|Anhydrous Sulfate of Lime|Dental Stone, Artificial|Anhydrous Calcium Sulfate|Artificial Dental Stone|Alabaster|Lime Anhydrous Sulfate",NA
"10416","hemoglobin Kodaira","Hb Kodaira II|Hb Bulltown|Hb Kodaira|Hb Kodaira I|hemoglobin Bulltown",4
"10417","alirocumab","REGN727 monoclonal antibody|SAR236553|monoclonal antibody REGN727|praluent",74
"10418","oxymorphazone","oxymorphone hydrazone",10
"10419","Energy Intake","Caloric Intake",NA
"10420","Granuloma, Foreign-Body","Foreign-Body Granulomas|Foreign Body Granuloma|Granuloma, Foreign Body|Granulomas, Foreign-Body|Foreign-Body Granuloma",NA
"10421","inositol hexasulfate","myoinositol hexasulfate|myo-inositol hexakis(hydrogen sulfate)|inositol hexkissulfate|inositol hexasulfate, hexasodium salt|inositol hexasulfate, sodium-aluminum salt|inositol hexasulfate, sodium salt|inositol hexasulfate, hexapotassium salt|myoinositol hexakissulfate",34
"10422","nitrofungin","nitrofurgin|nitrofungin, sodium salt",6
"10423","kukoamine B",NA,7
"10424","Orthoptera","Ensifera|Orthopteras|Caelifera|Caeliferas|Ensiferas",NA
"10425","Cyathus",NA,NA
"10426","vasicinone",NA,18
"10427","sudoxicam","4-hydroxy-2-methyl-N(2)-thiazolyl-2H-1,2-benzothiazine-3-carboxamide 1,1-dioxide",6
"10428","Endocardium","Endocardiums",NA
"10429","Methionine-tRNA Ligase","L-Methionine:tRNA(Met) ligase (AMP-forming)|Methionyl-tRNA Synthetase|Met-tRNA Ligase|Methionyl T RNA Synthetase|Ligase, Methionine-tRNA|Synthetase, Methionyl-tRNA|Methionine tRNA Ligase|Ligase, Met-tRNA|Met tRNA Ligase|Methionyl tRNA Synthetase",NA
"10430","Fetal Hemoglobin","Hemoglobin, Fetal|Hemoglobin F",NA
"10431","Ruta","Rutas|chalepenses, Ruta|Ruta graveolens|Ruta chalepenses|Rues|Rue|graveolen, Ruta|Ruta chalepensis|Ruta graveolen",NA
"10432","Hyaluronic Acid","Amvisc|Healon|Hyaluronic acid|Etamucine|Hyaluronate, Sodium|Hyaluronate Sodium|Luronit|Acid, Hyaluronic|Biolon|Amo Vitrax|Hyaluronan|Sodium Hyaluronate|Hyvisc|Vitrax, Amo",NA
"10433","dai-kenchu-to","da jian zhong tang|TU-100 extract|daikenchuto",78
"10434","Conjunctivitis, Viral","Viral Conjunctivitis|Viral Conjunctivitides|Conjunctivitides, Viral",NA
"10435","Glucosephosphates",NA,NA
"10436","eucerin",NA,18
"10437","dihydrokavain",NA,15
"10438","ethyl oleate","ethyl oleate, (E)-isomer",134
"10439","avoparcin","LL-AV 290|Avotan|alpha-avoparcin",131
"10440","Lateral Line System","Organs, Lateral Line|Systems, Lateral Line|Lateral Line Organ|Organ, Lateral Line|Lateral Line Canal|System, Lateral Line|Lateral Line Systems|Lateral Line Organs|Canal, Lateral Line",NA
"10441","geosmin",NA,203
"10442","Putrescine","1,4-Butanediamine|1,4 Diaminobutane|1,4 Butanediamine|1,4-Diaminobutane|Tetramethylenediamine",NA
"10443","Meningitis","Pachymeningitides|Pachymeningitis|Meningitides",NA
"10444","ETS Motif","Helix-Turn-Helix, ETS-Type Domain Containing|ETS Domain|ETS Domains|ETS Motifs|Helix Turn Helix, ETS Type Domain Containing",NA
"10445","Acrocephalosyndactylia","Syndrome, Chotzen|Kurczynski Casperson Syndrome|Acrocephalosyndactylies, Type V|Acrocephalosyndactylies, Type 1|Saethre Chotzen Syndrome|Noack Syndrome|Type I Acrocephalosyndactyly|Acrocephalosyndactylias|Type V Acrocephalosyndactylies|Syndromes, Noack|Type V Acrocephalosyndactyly|Type I Acrocephalosyndactylies|Disease, Apert-Crouzon|Chotzen Syndrome|Acrocephalosyndactyly, Type V|Apert Syndrome|Pfeiffer Syndrome|Acrocephalosyndactylies, Type II|Acrocephalosyndactylies, Type I|Acrocephalosyndactyly, Type 3|Apert-Crouzon Disease|Acrocephalosyndactyly (Apert)|Acrocephalosyndactyly, Type 1|Craniofacial-Skeletal-Dermatologic Dysplasia|Noack Syndromes|Syndrome, Saethre-Chotzen|Dysostosis Craniofacialis with Hypertelorism|Syndactylic Oxycephaly|Apert Crouzon Disease|Acrocephalosyndactyly III|Type II Acrocephalosyndactyly|Syndrome, Apert|Syndrome, Noack|Saethre-Chotzen Syndrome|Syndrome, Pfeiffer|Acrocephalosyndactyly, Type III|Acrocephalosyndactylies, Type III|Type II Acrocephalosyndactylies|Syndrome, Kurczynski Casperson|Acrocephalosyndactyly, Type II|Syndactylic Oxycephalies|Acrocephaly, Skull Asymmetry, and Mild Syndactyly|Acrocephalosyndactyly IIIs|Acrocephalosyndactyly, Type I|Type III Acrocephalosyndactyly|Acrocephalosyndactylies, Type 3",NA
"10446","tralomethrin","tralomethrin, (1R-(1alpha(R*),3alpha(R*)))-isomer|tralomethrin, (1R-(1alpha(R*),3alpha(S*)))-isomer",11
"10447","dimethandrolone-undecanoate","DMAU cpd",5
"10448","Vanilmandelic Acid","Benzeneacetic acid, alpha,4-dihydroxy-3-methoxy-|Acid, 4-Hydroxy-3-Methoxymandelic|Acid, Vanilmandelic|4-Hydroxy-3-Methoxymandelic Acid|Methoxyhydroxymandelic Acid|Vanillylmandelic Acid|4 Hydroxy 3 Methoxymandelic Acid|Acid, Methoxyhydroxymandelic|Acid, Vanillylmandelic",NA
"10449","Biotene",NA,20
"10450","Balangu seed gum","BSG gum",4
"10451","bromopyruvate","3-bromopyruvic acid|3-bromopyruvate",203
"10452","masticadienonic acid",NA,6
"10453","Arsenic Poisoning","Inorganic Arsenic Poisoning|Arsenical Neurotoxicity Syndrome|Poisoning, Organic Arsenic|Arsenic-Induced Polyneuropathy|Poisoning, Inorganic Arsenic|Arsenic-Induced Polyneuropathies|Polyneuropathy, Arsenic Induced|Neurotoxicity Syndromes, Arsenical|Poisonings, Inorganic Arsenic|Poisonings, Organic Arsenic|Syndrome, Arsenical Neurotoxicity|Nervous System, Organic Arsenic Poisoning|Neurotoxicity Syndrome, Arsenical|Organic Arsenic Poisonings|Arsenic Poisonings, Inorganic|Inorganic Arsenic Poisonings|Poisonings, Arsenic|Arsenic Encephalopathy|Arsenic Poisonings, Organic|Arsenic Induced Polyneuropathy|Arsenic Poisonings|Poisoning, Arsenic, Nervous System|Arsenic Poisoning, Nervous System|Encephalopathy, Arsenic|Organic Arsenic Poisoning|Organic Arsenic Poisoning, Nervous System|Arsenic Encephalopathies|Arsenic Poisoning, Organic|Encephalopathies, Arsenic|Syndromes, Arsenical Neurotoxicity|Poisoning, Arsenic|Arsenical Neurotoxicity Syndromes|Polyneuropathy, Arsenic-Induced|Arsenic Poisoning, Inorganic|Nervous System Poisoning, Arsenic",NA
"10454","Gastrulation",NA,NA
"10455","pentaiodide","Pentacide|resin-I5|resin-pentaiodide",4
"10456","deramciclane","EGIS 3886|2-phenyl-2-(dimethylaminoethoxy)-1,7,7-trimethylbicyclo(2.2.1)heptane hemifumarate|EGIS-3886|EGYT-3886|EGIS3886|deramciclane, (endo-EGYT 3886)-isomer|N,N-dimethyl-2-((1,7,7-trimethyl-2-phenylbicyclo(2.2.1)hept-2-yl)oxy)ethamine|EGYT 3886|deramciclane, (1R,2S,4R)-isomer",39
"10457","diumycin",NA,9
"10458","esculentin steroid","esculentin|Pregn-5-en-20-one, 3-((O-6-deoxy-3-O-methyl-beta-D-glucopyranosyl-(1-4)-O-2,6-dideoxy-3-O-methyl-beta-D-ribo-hexopyranosyl-(1-4)-2,6-dideoxy-3-O-methyl-beta-D-arabino-hexopyranosyl)oxy)-8,11,12,14,17-pentahydroxy-, (3beta,11alpha,12beta,14beta,17alpha)-",14
"10459","glutathione-bimane","bimane-S-glutathione|GS-B conjugate",18
"10460","tracheloside","2(3H)-Furanone, 4-((3,4-dimethoxyphenyl)methyl)-3-((4-(beta-D-glucopyranosyloxy)-3-methoxyphenyl)methyl)dihydro-3-hydroxy-, (3S-cis)-",10
"10461","cobalt ammonium complex","Co(III)hexammine|Co(3)-NH3(6)|hexammine cobalt(III)|hexaammine cobalt(III)|cobalt(III) hexaammine|Cobalt(3+), hexaammine-, (OC-6-11)-",83
"10462","Buschke-Lowenstein Tumor","Condyloma Acuminatums, Giant|Giant Condyloma of Buschke and Lowenstein|Tumor, Buschke LÃ¶wenstein|Buschke-LÃ¶wenstein Tumor|Giant Condyloma Acuminatums|Tumor, Buschke-LÃ¶wenstein|Tumor, Buschke-Lowenstein|Anogenital Type Verrucous Carcinoma|Lowenstein Tumor, Buschke|LÃ¶wenstein Tumor, Buschke|Giant Condyloma of Buschke and LÃ¶wenstein|Tumor, Buschke Lowenstein|Condyloma Acuminatum, Giant|Giant Condyloma Acuminatum|Buschke LÃ¶wenstein Tumor|Buschke Lowenstein Tumor",NA
"10463","Hypoparathyroidism","Idiopathic Hypoparathyroidism|Hypoparathyroidism, Idiopathic",NA
"10464","beta-Arrestins","beta Arrestin|beta Arrestins|beta-Arrestin",NA
"10465","rOmpA, Rickettsia","rickettsial outer membrane protein A",25
"10466","Turcot syndrome","CNS tumors with Familial polyposis of the colon|MMR Deficiency|Brain Tumor-Polyposis Syndrome 1|Mismatch Repair Cancer Syndrome|Mismatch Repair Deficiency",49
"10467","Twin Study","Twin Studies",NA
"10468","quinamic acid",NA,5
"10469","Radiotherapy, High-Energy","Radiotherapy, Megavolt|High Energy Radiotherapy|High-Energy Radiotherapy|Megavolt Radiotherapy|Radiotherapy, High Energy",NA
"10470","darapladib",NA,56
"10471","Rifabutin","Ansatipine|Mycobutin|LM 427|Rifabutine|Alfacid|Rifamycin XIV, 1',4-didehydro-1-deoxy-1,4-dihydro-5'-(2-methylpropyl)-1-oxo-|Pfizer Brand of Rifabutin|Ansatipin|Kenfarma Brand of Rifabutin|GrÃ¼nenthal Brand of Rifabutin|Rifabutin Pfizer Brand|LM427|Ansamycin|LM-427",NA
"10472","Estilux posterior",NA,36
"10473","Ireland","Eire|Ireland, Republic of|Irish Free State",NA
"10474","OptiBond SOLO",NA,75
"10475","Chromium",NA,NA
"10476","Dihydropyridines",NA,NA
"10477","pancreas-specific antigen",NA,18
"10478","Water","Hydrogen Oxide",NA
"10479","haouamine B",NA,8
"10480","Antioxidants","Anti-Oxidant Effect|Effect, Anti-Oxidant|Effect, Antioxidant|Anti Oxidant Effects|Effects, Antioxidant|Effects, Anti-Oxidant|Anti Oxidant Effect|Antioxidant Effect|Antioxidant Effects|Anti-Oxidant Effects",NA
"10481","estradiol hexahydrobenzoate","Benzogynestryl",6
"10482","Endoreduplication","Polytenizations|Endoreduplications|Endoreplications|Polytenization|Endoreplication",NA
"10483","mephenoxalone","Dorsiflex|Will brand of mephenoxalone",26
"10484","Pleurotus","Oyster Mushrooms|Pleurotus ostreatus|Oyster Mushroom|Mushrooms, Oyster|Mushroom, Oyster",NA
"10485","Roma","Gipsies|Gypsy|Gipsy|Romanies|Romany|Gypsies|Romani",NA
"10486","Ischemic Contracture","Contracture, Volkmann|Contracture, Volkmann's Ischemic|Volkmanns Ischemic Contracture|Ischemic Contracture, Volkmann's|Volkmann Ischemic Contracture|Contracture, Ischemic|Contractures, Ischemic|Contractures, Volkmann|Ischemic Contractures|Volkmann Contracture|Volkmann's Ischemic Contracture|Volkmann Contractures",NA
"10487","nitrosocarbaryl","nitrosocarbaryl, 13N-labeled cpd|N-nitrosocarbaryl|Carbamic acid, methylnitroso-, 1-naphthalenyl ester|1-naphthyl-N-methyl-N-nitrosocarbamate",12
